1,Blue Star Estate,"235, Nelm Street","1,2,3,4,5,6,7,8,12,30,60","1,3,5","1,8,17"
2,Jelly Farms,"1260, East Avenue","10,20,30,40,50,60,70,80,90","23,56,76,80","6,8,80"
3,Sunshine Woods Fields,"2320, Wilkinson Street","25,28,30,52,60,75,76,77","34,56,73,95","22,33"
4,White Oak Farms,"4785, Emily Drive","2,6,17,22,23,40,55,66,73,75,89","2,9,13,67,82","34,56,83"
5,Mayday Farms,"1534, Carriage Court","9,11,50,60,66,75,77,83,90,95","6,34,63,77","92,93,94"
6,Shady Oaks Farms,"424, Fraggle Drive","30,44,47,52,57,60,73,74,80","15,26,72,73,75","2,4,37"
7,Day Break Meadow,"3940, Renwick Drive","50,53,59,91,92,93,94,95,96,97","21,22,23,24,25","10,36,47"
8,Green Canyon Farms,"1823, School House Road","8,16,24,32,40,48,56,64,72,80,88","5,6,7,65,90","5,73,77,85"
9,MappleLand Farms,"4911, Joy Lane","9,18,27,36,45,54,63,70","33,34,68","17,65,66"
10,Black Bear Lands,"4899, Roguski Road","10,21,37,45,51,61,71,81,91,97","20,23,25,42","19,78,79"
11,Big Oak Meadow,"4992, Froe Street","11,12,33,44,55,56,65,77,88","4,14,24","46,56"
12,Rosebush Fields,"1646, Apple Lane","12,24,36,48,52,72,84,88,93,96","9,18,27,35,67","20,37,53"
13,Gold Trees Lands,"351, Gregory Lane","13,23,38,42,53,58,72,79","56,63,74,88","38,60,84"
14,Grassy Knoll Farmstead,"149, Charla Lane","14,24,34,44,54,64,74,84,94","3,45,46,79","3,9,55,82"
15,Canyon Farms,"1839, Essex Court","56,59,72,76,84,87,93,95","8,92,93","15,33,73"
16,Blackmeadow Gardens,"583, Adams Avenue","23,32,47,48,49,68,78,80","17,27,36,91,94","59,67,71,86"
17,Happy Trails Lands,"4410, Daffodil Lane","8,40,56,77,90,91,93","20,40","72,73,90"
18,Honey Farms,"849, Passaic Street","6,8,10,28,33,49,53,66,67,88","10,54,63,72,93","4,44,48,94"
19,Riverrock Farms,"2422, Friendship Lane","2,5,40,56,77,82,90,91","57,67,78,97","18,63,72"
20,Hollow Hill Pastures,"4932, Linda Street","1,3,15,67,68,73,80","33,43,53","9,18,19,30"
